latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.4000015,106.100006,106.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,24.8,27.60,27.60
2020-01-02,63,25.6,14.70,14.70
2020-01-03,61,25.3,13.60,13.60
2020-01-04,63,25.8,12.90,12.90
2020-01-05,63,25.8,11.20,11.20
2020-01-06,65,24.8,41.50,41.50
2020-01-07,63,25.0,18.70,18.70
2020-01-08,63,25.7,10.80,10.80
2020-01-09,63,24.9,31.40,31.40
2020-01-10,63,24.2,36.10,36.10
2020-01-11,61,24.6,6.40,6.40
2020-01-12,51,25.8,2.00,2.00
2020-01-13,51,25.8,1.20,1.20
2020-01-14,51,26.4,2.50,2.50
2020-01-15,55,26.5,3.00,3.00
2020-01-16,53,26.3,4.20,4.20
2020-01-17,51,26.4,2.60,2.60
2020-01-18,61,26.3,4.60,4.60
2020-01-19,63,26.3,9.20,9.20
2020-01-20,55,26.2,4.10,4.10
2020-01-21,55,26.2,3.50,3.50
2020-01-22,65,26.3,24.50,24.50
2020-01-23,63,26.4,8.80,8.80
2020-01-24,63,26.0,14.90,14.90
2020-01-25,63,25.2,35.30,35.30
2020-01-26,63,25.3,37.40,37.40
2020-01-27,65,25.5,37.00,37.00
2020-01-28,65,25.9,27.80,27.80
2020-01-29,63,26.0,16.80,16.80
2020-01-30,51,26.2,0.90,0.90
2020-01-31,63,25.8,5.80,5.80
2020-02-01,63,26.1,6.00,6.00
2020-02-02,51,25.9,0.30,0.30
2020-02-03,61,25.8,5.30,5.30
2020-02-04,55,26.1,2.40,2.40
2020-02-05,63,25.9,17.10,17.10
2020-02-06,61,25.0,13.40,13.40
2020-02-07,63,25.3,13.60,13.60
2020-02-08,63,25.0,28.80,28.80
2020-02-09,63,24.2,28.70,28.70
2020-02-10,63,25.7,10.70,10.70
2020-02-11,63,25.8,21.80,21.80
2020-02-12,61,26.1,13.00,13.00
2020-02-13,63,25.6,16.40,16.40
2020-02-14,53,26.0,3.80,3.80
2020-02-15,63,25.9,15.40,15.40
2020-02-16,63,24.7,24.10,24.10
2020-02-17,63,25.4,12.70,12.70
2020-02-18,63,24.9,12.20,12.20
2020-02-19,55,24.9,4.30,4.30
2020-02-20,53,25.6,1.80,1.80
2020-02-21,63,26.1,4.70,4.70
2020-02-22,2,26.6,0.00,0.00
2020-02-23,51,26.5,0.80,0.80
2020-02-24,53,26.3,2.30,2.30
2020-02-25,55,25.9,4.40,4.40
2020-02-26,63,26.4,6.90,6.90
2020-02-27,51,26.8,1.10,1.10
2020-02-28,63,26.6,8.50,8.50
2020-02-29,61,26.2,4.90,4.90
2020-03-01,63,25.9,11.30,11.30
2020-03-02,63,26.8,4.10,4.10
2020-03-03,61,26.7,6.00,6.00
2020-03-04,65,25.4,47.30,47.30
2020-03-05,63,25.5,17.70,17.70
2020-03-06,53,26.9,1.30,1.30
2020-03-07,61,26.0,9.50,9.50
2020-03-08,63,25.6,18.70,18.70
2020-03-09,55,25.9,8.90,8.90
2020-03-10,63,26.2,10.90,10.90
2020-03-11,51,26.8,3.20,3.20
2020-03-12,61,25.4,9.70,9.70
2020-03-13,63,26.3,15.80,15.80
2020-03-14,63,26.4,7.00,7.00
2020-03-15,63,26.5,7.40,7.40
2020-03-16,63,26.0,24.90,24.90
2020-03-17,63,25.9,15.40,15.40
2020-03-18,63,25.4,20.60,20.60
2020-03-19,65,25.1,28.40,28.40
2020-03-20,63,24.5,21.30,21.30
2020-03-21,61,25.7,4.40,4.40
2020-03-22,61,25.3,10.00,10.00
2020-03-23,63,25.6,15.40,15.40
2020-03-24,63,25.7,9.90,9.90
2020-03-25,61,26.2,4.40,4.40
2020-03-26,63,26.1,8.70,8.70
2020-03-27,63,25.3,29.40,29.40
2020-03-28,63,26.2,7.20,7.20
2020-03-29,63,26.2,14.90,14.90
2020-03-30,65,25.3,30.00,30.00
2020-03-31,63,25.1,21.70,21.70
2020-04-01,61,25.7,9.30,9.30
2020-04-02,63,25.3,35.30,35.30
2020-04-03,63,25.8,23.10,23.10
2020-04-04,63,26.4,7.80,7.80
2020-04-05,63,26.0,14.90,14.90
2020-04-06,63,25.0,26.00,26.00
2020-04-07,63,24.8,26.40,26.40
2020-04-08,53,26.3,1.80,1.80
2020-04-09,63,26.0,14.70,14.70
2020-04-10,65,26.2,17.80,17.80
2020-04-11,63,26.7,7.10,7.10
2020-04-12,53,26.6,3.10,3.10
2020-04-13,61,26.2,4.80,4.80
2020-04-14,63,25.8,9.50,9.50
2020-04-15,61,25.6,5.20,5.20
2020-04-16,63,25.8,6.30,6.30
2020-04-17,63,25.9,13.20,13.20
2020-04-18,63,25.8,20.90,20.90
2020-04-19,63,26.6,5.20,5.20
2020-04-20,53,27.1,2.40,2.40
2020-04-21,63,26.5,12.40,12.40
2020-04-22,61,27.0,2.20,2.20
2020-04-23,51,27.0,1.70,1.70
2020-04-24,63,25.8,6.30,6.30
2020-04-25,51,26.1,0.20,0.20
2020-04-26,63,26.1,16.00,16.00
2020-04-27,63,25.2,17.90,17.90
2020-04-28,63,25.5,17.00,17.00
2020-04-29,63,25.5,18.90,18.90
2020-04-30,61,25.4,18.50,18.50
2020-05-01,63,25.5,14.00,14.00
2020-05-02,63,25.2,23.70,23.70
2020-05-03,63,25.7,5.80,5.80
2020-05-04,63,25.3,21.50,21.50
2020-05-05,63,25.8,9.90,9.90
2020-05-06,63,25.9,10.80,10.80
2020-05-07,51,27.2,0.60,0.60
2020-05-08,51,27.2,1.50,1.50
2020-05-09,61,25.9,5.80,5.80
2020-05-10,63,26.0,13.00,13.00
2020-05-11,63,26.2,9.20,9.20
2020-05-12,51,26.8,0.80,0.80
2020-05-13,61,26.3,9.60,9.60
2020-05-14,61,26.9,2.90,2.90
2020-05-15,2,26.9,0.00,0.00
2020-05-16,51,26.9,0.10,0.10
2020-05-17,63,27.2,10.70,10.70
2020-05-18,63,25.1,16.00,16.00
2020-05-19,51,26.3,0.40,0.40
2020-05-20,63,26.2,22.20,22.20
2020-05-21,2,26.6,0.00,0.00
2020-05-22,53,26.8,1.20,1.20
2020-05-23,1,27.2,0.00,0.00
2020-05-24,1,27.0,0.00,0.00
2020-05-25,63,25.9,11.50,11.50
2020-05-26,63,25.8,10.20,10.20
2020-05-27,63,25.2,22.10,22.10
2020-05-28,55,26.1,3.30,3.30
2020-05-29,63,26.4,8.90,8.90
2020-05-30,63,26.0,9.10,9.10
2020-05-31,63,25.7,10.90,10.90
2020-06-01,61,25.8,5.10,5.10
2020-06-02,61,26.0,2.40,2.40
2020-06-03,61,26.2,3.80,3.80
2020-06-04,55,26.7,1.80,1.80
2020-06-05,61,26.3,1.90,1.90
2020-06-06,51,26.1,0.70,0.70
2020-06-07,51,25.9,1.40,1.40
2020-06-08,53,25.9,2.70,2.70
2020-06-09,51,25.7,1.70,1.70
2020-06-10,63,26.1,4.50,4.50
2020-06-11,51,26.1,3.10,3.10
2020-06-12,51,25.6,2.90,2.90
2020-06-13,51,25.9,1.50,1.50
2020-06-14,51,26.5,0.30,0.30
2020-06-15,63,26.5,11.80,11.80
2020-06-16,55,25.8,3.30,3.30
2020-06-17,53,26.2,1.90,1.90
2020-06-18,63,26.1,8.90,8.90
2020-06-19,65,25.4,28.80,28.80
2020-06-20,55,25.9,1.50,1.50
2020-06-21,51,26.1,0.60,0.60
2020-06-22,63,25.2,11.10,11.10
2020-06-23,63,25.2,8.20,8.20
2020-06-24,63,25.4,8.10,8.10
2020-06-25,51,26.1,0.60,0.60
2020-06-26,53,26.0,1.70,1.70
2020-06-27,53,25.6,2.00,2.00
2020-06-28,51,26.1,0.20,0.20
2020-06-29,51,26.9,1.50,1.50
2020-06-30,51,26.4,0.40,0.40
2020-07-01,61,26.1,3.90,3.90
2020-07-02,61,24.7,20.40,20.40
2020-07-03,63,25.5,5.50,5.50
2020-07-04,55,25.8,1.90,1.90
2020-07-05,2,25.6,0.00,0.00
2020-07-06,2,25.6,0.00,0.00
2020-07-07,51,26.1,0.50,0.50
2020-07-08,63,25.7,13.30,13.30
2020-07-09,61,25.5,3.90,3.90
2020-07-10,51,25.6,1.50,1.50
2020-07-11,53,26.3,2.40,2.40
2020-07-12,53,26.1,3.60,3.60
2020-07-13,55,25.8,3.70,3.70
2020-07-14,61,25.5,7.30,7.30
2020-07-15,61,25.6,2.80,2.80
2020-07-16,51,25.8,0.20,0.20
2020-07-17,51,26.3,1.20,1.20
2020-07-18,51,25.9,0.60,0.60
2020-07-19,51,25.7,1.60,1.60
2020-07-20,51,26.1,1.00,1.00
2020-07-21,53,25.9,2.90,2.90
2020-07-22,65,25.4,14.90,14.90
2020-07-23,61,25.6,3.10,3.10
2020-07-24,53,26.0,2.10,2.10
2020-07-25,51,25.8,0.20,0.20
2020-07-26,51,25.9,1.00,1.00
2020-07-27,51,25.6,0.90,0.90
2020-07-28,51,25.4,0.30,0.30
2020-07-29,3,25.4,0.00,0.00
2020-07-30,51,25.0,0.20,0.20
2020-07-31,3,24.7,0.00,0.00
2020-08-01,3,25.0,0.00,0.00
2020-08-02,51,25.2,0.20,0.20
2020-08-03,3,26.2,0.00,0.00
2020-08-04,53,26.2,2.30,2.30
2020-08-05,63,26.1,6.70,6.70
2020-08-06,51,26.4,1.40,1.40
2020-08-07,51,26.8,0.80,0.80
2020-08-08,51,26.3,1.40,1.40
2020-08-09,51,26.2,0.20,0.20
2020-08-10,51,26.3,2.20,2.20
2020-08-11,61,26.3,6.40,6.40
2020-08-12,61,26.5,1.90,1.90
2020-08-13,63,25.4,29.40,29.40
2020-08-14,63,25.3,10.20,10.20
2020-08-15,51,25.9,0.90,0.90
2020-08-16,55,25.9,5.80,5.80
2020-08-17,63,25.4,10.40,10.40
2020-08-18,63,25.1,7.20,7.20
2020-08-19,51,26.0,0.10,0.10
2020-08-20,55,25.8,3.50,3.50
2020-08-21,51,26.0,0.10,0.10
2020-08-22,3,26.4,0.00,0.00
2020-08-23,53,26.4,2.60,2.60
2020-08-24,53,25.8,3.70,3.70
2020-08-25,51,26.4,0.80,0.80
2020-08-26,51,26.2,1.00,1.00
2020-08-27,51,26.4,0.80,0.80
2020-08-28,51,26.2,1.10,1.10
2020-08-29,63,25.8,5.10,5.10
2020-08-30,51,26.8,1.70,1.70
2020-08-31,51,26.8,1.30,1.30
2020-09-01,53,26.3,1.50,1.50
2020-09-02,63,25.8,9.80,9.80
2020-09-03,63,25.6,18.10,18.10
2020-09-04,63,25.9,9.30,9.30
2020-09-05,61,26.1,5.70,5.70
2020-09-06,51,26.4,0.20,0.20
2020-09-07,51,26.5,1.70,1.70
2020-09-08,51,26.7,1.30,1.30
2020-09-09,63,26.5,6.20,6.20
2020-09-10,63,26.0,10.60,10.60
2020-09-11,63,25.9,11.90,11.90
2020-09-12,61,26.2,3.10,3.10
2020-09-13,2,26.2,0.00,0.00
2020-09-14,61,25.7,2.10,2.10
2020-09-15,51,25.7,1.20,1.20
2020-09-16,2,25.7,0.00,0.00
2020-09-17,51,25.9,0.60,0.60
2020-09-18,51,26.8,0.10,0.10
2020-09-19,51,27.6,0.20,0.20
2020-09-20,53,26.4,1.80,1.80
2020-09-21,63,26.0,9.50,9.50
2020-09-22,55,25.8,2.50,2.50
2020-09-23,63,26.9,4.50,4.50
2020-09-24,55,27.0,3.10,3.10
2020-09-25,53,26.4,1.50,1.50
2020-09-26,63,25.9,13.50,13.50
2020-09-27,63,25.6,10.40,10.40
2020-09-28,55,26.1,4.00,4.00
2020-09-29,51,26.1,0.70,0.70
2020-09-30,53,26.6,2.60,2.60
2020-10-01,63,26.3,12.50,12.50
2020-10-02,63,26.3,9.80,9.80
2020-10-03,63,24.9,26.10,26.10
2020-10-04,53,26.1,1.40,1.40
2020-10-05,53,26.0,1.80,1.80
2020-10-06,51,25.9,1.30,1.30
2020-10-07,51,26.1,1.50,1.50
2020-10-08,51,26.5,0.10,0.10
2020-10-09,63,25.6,22.30,22.30
2020-10-10,61,25.6,8.80,8.80
2020-10-11,65,25.4,39.30,39.30
2020-10-12,61,25.4,9.20,9.20
