latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.0999985,110.20001,261.0,25200,Asia/Bangkok,+07

time,weathercode (wmo code),temperature_2m_mean (°C),precipitation_sum (mm),rain_sum (mm)
2020-01-01,63,23.9,48.40,48.40
2020-01-02,61,24.9,4.50,4.50
2020-01-03,61,25.0,8.40,8.40
2020-01-04,63,25.1,18.00,18.00
2020-01-05,61,25.0,9.60,9.60
2020-01-06,63,24.8,26.10,26.10
2020-01-07,63,24.8,17.80,17.80
2020-01-08,65,24.0,67.20,67.20
2020-01-09,63,24.5,21.80,21.80
2020-01-10,63,24.6,17.40,17.40
2020-01-11,53,24.9,3.00,3.00
2020-01-12,53,25.3,3.40,3.40
2020-01-13,53,25.6,1.30,1.30
2020-01-14,53,25.2,3.90,3.90
2020-01-15,61,25.2,8.40,8.40
2020-01-16,63,25.3,10.30,10.30
2020-01-17,61,25.5,6.20,6.20
2020-01-18,55,25.3,4.60,4.60
2020-01-19,63,25.6,7.10,7.10
2020-01-20,63,25.4,18.00,18.00
2020-01-21,61,24.9,6.40,6.40
2020-01-22,51,25.9,0.70,0.70
2020-01-23,55,25.8,3.60,3.60
2020-01-24,61,25.1,10.60,10.60
2020-01-25,65,24.4,138.80,138.80
2020-01-26,63,25.0,13.40,13.40
2020-01-27,53,25.1,1.50,1.50
2020-01-28,61,25.7,1.90,1.90
2020-01-29,61,26.0,4.10,4.10
2020-01-30,63,25.3,18.20,18.20
2020-01-31,63,24.7,14.70,14.70
2020-02-01,55,24.9,12.50,12.50
2020-02-02,61,24.7,7.90,7.90
2020-02-03,63,24.8,20.60,20.60
2020-02-04,63,24.9,12.80,12.80
2020-02-05,61,25.0,7.20,7.20
2020-02-06,61,25.0,5.40,5.40
2020-02-07,63,24.3,21.40,21.40
2020-02-08,61,24.9,9.20,9.20
2020-02-09,55,24.8,4.70,4.70
2020-02-10,61,25.1,18.30,18.30
2020-02-11,63,24.5,23.80,23.80
2020-02-12,53,24.6,2.60,2.60
2020-02-13,51,25.3,0.80,0.80
2020-02-14,55,25.3,4.60,4.60
2020-02-15,63,24.9,20.30,20.30
2020-02-16,63,24.8,15.80,15.80
2020-02-17,61,24.4,13.40,13.40
2020-02-18,63,24.1,38.80,38.80
2020-02-19,61,23.8,26.60,26.60
2020-02-20,55,24.2,12.60,12.60
2020-02-21,53,24.9,2.50,2.50
2020-02-22,61,25.5,4.30,4.30
2020-02-23,63,24.8,14.60,14.60
2020-02-24,61,25.2,2.90,2.90
2020-02-25,61,24.9,16.00,16.00
2020-02-26,61,24.7,10.50,10.50
2020-02-27,53,25.0,6.10,6.10
2020-02-28,63,25.2,37.80,37.80
2020-02-29,63,24.9,33.00,33.00
2020-03-01,63,24.2,33.20,33.20
2020-03-02,63,25.4,7.10,7.10
2020-03-03,55,25.5,2.70,2.70
2020-03-04,63,25.1,43.50,43.50
2020-03-05,65,24.5,188.00,188.00
2020-03-06,55,25.1,4.90,4.90
2020-03-07,63,24.9,19.10,19.10
2020-03-08,63,24.8,20.60,20.60
2020-03-09,61,25.0,7.40,7.40
2020-03-10,61,25.1,4.70,4.70
2020-03-11,51,25.3,1.20,1.20
2020-03-12,51,25.3,0.70,0.70
2020-03-13,61,25.4,3.50,3.50
2020-03-14,61,25.4,6.30,6.30
2020-03-15,61,25.3,10.70,10.70
2020-03-16,63,25.2,7.10,7.10
2020-03-17,55,25.2,5.40,5.40
2020-03-18,53,24.9,3.10,3.10
2020-03-19,61,24.7,6.00,6.00
2020-03-20,61,24.7,8.90,8.90
2020-03-21,53,25.1,0.80,0.80
2020-03-22,55,25.2,2.30,2.30
2020-03-23,61,25.1,3.40,3.40
2020-03-24,61,25.0,4.10,4.10
2020-03-25,63,25.2,7.00,7.00
2020-03-26,61,25.0,10.30,10.30
2020-03-27,53,25.5,1.10,1.10
2020-03-28,63,25.5,7.60,7.60
2020-03-29,63,25.0,5.50,5.50
2020-03-30,63,25.0,20.50,20.50
2020-03-31,61,24.9,7.20,7.20
2020-04-01,61,25.0,8.60,8.60
2020-04-02,61,25.5,8.90,8.90
2020-04-03,61,25.1,9.70,9.70
2020-04-04,61,25.2,9.10,9.10
2020-04-05,63,25.1,8.70,8.70
2020-04-06,61,24.4,16.00,16.00
2020-04-07,63,24.4,25.90,25.90
2020-04-08,63,24.3,24.20,24.20
2020-04-09,63,24.8,11.20,11.20
2020-04-10,61,25.5,4.50,4.50
2020-04-11,53,25.5,3.60,3.60
2020-04-12,53,25.3,2.90,2.90
2020-04-13,61,24.8,11.70,11.70
2020-04-14,61,24.4,9.80,9.80
2020-04-15,61,24.7,7.30,7.30
2020-04-16,51,25.3,0.80,0.80
2020-04-17,61,25.4,2.20,2.20
2020-04-18,55,25.2,1.30,1.30
2020-04-19,55,25.7,3.70,3.70
2020-04-20,61,25.8,3.20,3.20
2020-04-21,61,25.6,5.40,5.40
2020-04-22,51,26.2,0.20,0.20
2020-04-23,53,26.1,2.80,2.80
2020-04-24,61,26.0,3.50,3.50
2020-04-25,53,25.5,1.20,1.20
2020-04-26,53,25.4,2.30,2.30
2020-04-27,53,25.8,1.50,1.50
2020-04-28,61,25.0,3.30,3.30
2020-04-29,51,25.4,0.60,0.60
2020-04-30,51,25.7,0.20,0.20
2020-05-01,53,25.5,2.80,2.80
2020-05-02,61,25.1,8.60,8.60
2020-05-03,2,25.4,0.00,0.00
2020-05-04,51,25.6,0.40,0.40
2020-05-05,53,25.7,2.30,2.30
2020-05-06,51,26.0,1.20,1.20
2020-05-07,2,26.3,0.00,0.00
2020-05-08,51,26.0,0.60,0.60
2020-05-09,63,25.3,9.70,9.70
2020-05-10,51,25.6,0.60,0.60
2020-05-11,61,24.9,7.00,7.00
2020-05-12,55,25.5,2.10,2.10
2020-05-13,51,26.0,0.40,0.40
2020-05-14,2,25.8,0.00,0.00
2020-05-15,2,25.9,0.00,0.00
2020-05-16,2,26.9,0.00,0.00
2020-05-17,61,26.2,3.00,3.00
2020-05-18,61,25.5,8.20,8.20
2020-05-19,53,25.5,3.40,3.40
2020-05-20,51,25.7,0.20,0.20
2020-05-21,55,25.8,5.40,5.40
2020-05-22,61,25.6,3.60,3.60
2020-05-23,1,26.1,0.00,0.00
2020-05-24,1,26.1,0.00,0.00
2020-05-25,61,25.5,2.40,2.40
2020-05-26,61,25.4,7.10,7.10
2020-05-27,53,25.0,3.80,3.80
2020-05-28,63,24.4,9.90,9.90
2020-05-29,61,25.2,3.60,3.60
2020-05-30,53,25.6,0.90,0.90
2020-05-31,53,25.1,2.50,2.50
2020-06-01,53,25.1,1.70,1.70
2020-06-02,51,25.2,0.70,0.70
2020-06-03,53,25.5,0.90,0.90
2020-06-04,51,25.2,0.10,0.10
2020-06-05,51,25.4,0.20,0.20
2020-06-06,53,25.3,1.50,1.50
2020-06-07,51,25.2,0.60,0.60
2020-06-08,53,24.8,1.80,1.80
2020-06-09,53,24.6,0.90,0.90
2020-06-10,51,25.5,0.60,0.60
2020-06-11,51,25.8,0.10,0.10
2020-06-12,2,25.4,0.00,0.00
2020-06-13,1,25.6,0.00,0.00
2020-06-14,2,26.1,0.00,0.00
2020-06-15,61,25.7,2.40,2.40
2020-06-16,2,25.8,0.00,0.00
2020-06-17,2,25.6,0.00,0.00
2020-06-18,51,25.8,0.60,0.60
2020-06-19,51,25.6,0.20,0.20
2020-06-20,2,25.6,0.00,0.00
2020-06-21,51,25.4,0.20,0.20
2020-06-22,51,25.3,0.10,0.10
2020-06-23,2,25.5,0.00,0.00
2020-06-24,51,25.6,0.40,0.40
2020-06-25,53,25.5,2.30,2.30
2020-06-26,51,25.1,0.40,0.40
2020-06-27,1,25.2,0.00,0.00
2020-06-28,2,25.7,0.00,0.00
2020-06-29,51,25.8,0.30,0.30
2020-06-30,1,25.8,0.00,0.00
2020-07-01,53,26.2,0.50,0.50
2020-07-02,51,25.7,0.30,0.30
2020-07-03,51,25.8,0.60,0.60
2020-07-04,1,25.6,0.00,0.00
2020-07-05,51,25.5,0.10,0.10
2020-07-06,63,25.2,9.60,9.60
2020-07-07,51,25.6,0.10,0.10
2020-07-08,51,25.7,0.10,0.10
2020-07-09,51,25.8,0.40,0.40
2020-07-10,51,25.8,0.60,0.60
2020-07-11,2,26.1,0.00,0.00
2020-07-12,51,26.2,0.50,0.50
2020-07-13,51,26.2,0.90,0.90
2020-07-14,51,26.3,0.50,0.50
2020-07-15,61,24.8,1.90,1.90
2020-07-16,2,25.8,0.00,0.00
2020-07-17,51,26.0,0.10,0.10
2020-07-18,51,26.5,0.60,0.60
2020-07-19,53,26.3,1.30,1.30
2020-07-20,51,26.1,0.30,0.30
2020-07-21,55,25.5,4.30,4.30
2020-07-22,51,25.7,0.20,0.20
2020-07-23,53,26.2,2.00,2.00
2020-07-24,2,25.9,0.00,0.00
2020-07-25,2,24.7,0.00,0.00
2020-07-26,1,24.7,0.00,0.00
2020-07-27,1,25.0,0.00,0.00
2020-07-28,51,25.5,0.50,0.50
2020-07-29,1,25.5,0.00,0.00
2020-07-30,2,24.5,0.00,0.00
2020-07-31,1,24.9,0.00,0.00
2020-08-01,2,25.9,0.00,0.00
2020-08-02,51,26.1,0.40,0.40
2020-08-03,51,25.9,0.30,0.30
2020-08-04,3,25.9,0.00,0.00
2020-08-05,3,26.6,0.00,0.00
2020-08-06,51,26.3,0.70,0.70
2020-08-07,51,25.8,1.40,1.40
2020-08-08,53,25.6,3.90,3.90
2020-08-09,51,26.1,0.60,0.60
2020-08-10,51,26.4,0.20,0.20
2020-08-11,63,26.1,6.40,6.40
2020-08-12,53,25.6,0.70,0.70
2020-08-13,51,25.6,0.60,0.60
2020-08-14,53,25.9,2.10,2.10
2020-08-15,51,25.5,1.70,1.70
2020-08-16,51,25.6,1.70,1.70
2020-08-17,51,26.4,0.70,0.70
2020-08-18,51,26.5,0.10,0.10
2020-08-19,1,26.3,0.00,0.00
2020-08-20,2,26.5,0.00,0.00
2020-08-21,0,26.1,0.00,0.00
2020-08-22,0,26.9,0.00,0.00
2020-08-23,53,26.8,1.00,1.00
2020-08-24,51,26.9,0.30,0.30
2020-08-25,51,27.1,0.10,0.10
2020-08-26,51,27.1,1.30,1.30
2020-08-27,51,26.4,0.10,0.10
2020-08-28,3,27.0,0.00,0.00
2020-08-29,53,26.8,0.50,0.50
2020-08-30,51,27.4,0.10,0.10
2020-08-31,2,27.1,0.00,0.00
2020-09-01,51,27.6,0.20,0.20
2020-09-02,53,26.7,2.80,2.80
2020-09-03,63,26.0,17.40,17.40
2020-09-04,51,26.5,0.40,0.40
2020-09-05,53,27.0,1.20,1.20
2020-09-06,51,26.7,0.10,0.10
2020-09-07,2,26.9,0.00,0.00
2020-09-08,2,27.0,0.00,0.00
2020-09-09,2,27.5,0.00,0.00
2020-09-10,51,27.1,0.80,0.80
2020-09-11,53,26.8,0.90,0.90
2020-09-12,1,27.2,0.00,0.00
2020-09-13,53,26.8,1.30,1.30
2020-09-14,1,26.5,0.00,0.00
2020-09-15,1,27.0,0.00,0.00
2020-09-16,51,26.6,0.10,0.10
2020-09-17,2,26.8,0.00,0.00
2020-09-18,1,27.5,0.00,0.00
2020-09-19,1,28.1,0.00,0.00
2020-09-20,51,27.8,0.20,0.20
2020-09-21,63,26.7,12.90,12.90
